basketball-v1/Iteration,ped-insert-side-v1/MaxReturn,Average/Iteration,GaussianMLPPolicy/KLBefore,pick-place-v1/NumTrajs,basketball-v1/NumTrajs,door-v1/MaxReturn,sweep-v1/Iteration,GaussianMLPPolicy/LossBefore,drawer-close-v1/MaxReturn,push-v1/StdReturn,ped-insert-side-v1/MinReturn,ped-insert-side-v1/AverageReturn,pick-place-v1/AverageReturn,button-press-topdown-v1/MaxReturn,push-v1/Iteration,push-v1/MaxReturn,reach-v1/CompletionRate,sweep-v1/CompletionRate,door-v1/SuccessRate,push-v1/CompletionRate,push-v1/MinReturn,button-press-topdown-v1/Iteration,sweep-v1/NumTrajs,window-open-v1/NumTrajs,ped-insert-side-v1/NumTrajs,drawer-close-v1/AverageReturn,push-v1/AverageReturn,pick-place-v1/AverageDiscountedReturn,button-press-topdown-v1/SuccessRate,pick-place-v1/StdReturn,window-open-v1/MinReturn,TotalEnvSteps,push-v1/SuccessRate,push-v1/NumTrajs,basketball-v1/MaxReturn,door-v1/CompletionRate,door-v1/Iteration,sweep-v1/StdReturn,basketball-v1/CompletionRate,Average/CompletionRate,window-open-v1/Iteration,sweep-v1/MinReturn,GaussianMLPPolicy/Entropy,window-open-v1/AverageReturn,door-v1/StdReturn,ped-insert-side-v1/CompletionRate,basketball-v1/AverageReturn,button-press-topdown-v1/AverageReturn,Average/AverageReturn,drawer-close-v1/Iteration,reach-v1/MaxReturn,reach-v1/Iteration,reach-v1/StdReturn,Average/StdReturn,GaussianMLPPolicy/dLoss,drawer-close-v1/NumTrajs,basketball-v1/SuccessRate,reach-v1/MinReturn,sweep-v1/MaxReturn,pick-place-v1/SuccessRate,door-v1/NumTrajs,ped-insert-side-v1/Iteration,button-press-topdown-v1/StdReturn,PolicyExecTime,window-open-v1/MaxReturn,window-open-v1/CompletionRate,Average/MaxReturn,basketball-v1/StdReturn,drawer-close-v1/CompletionRate,door-v1/MinReturn,Average/NumTrajs,button-press-topdown-v1/AverageDiscountedReturn,basketball-v1/AverageDiscountedReturn,Average/SuccessRate,pick-place-v1/CompletionRate,EnvExecTime,sweep-v1/AverageDiscountedReturn,push-v1/AverageDiscountedReturn,window-open-v1/AverageDiscountedReturn,door-v1/AverageDiscountedReturn,sweep-v1/SuccessRate,GaussianMLPPolicy/LossAfter,sweep-v1/AverageReturn,pick-place-v1/MaxReturn,window-open-v1/StdReturn,window-open-v1/SuccessRate,reach-v1/AverageDiscountedReturn,button-press-topdown-v1/NumTrajs,GaussianMLPPolicy/KLAfter,drawer-close-v1/MinReturn,button-press-topdown-v1/MinReturn,door-v1/AverageReturn,ped-insert-side-v1/StdReturn,drawer-close-v1/SuccessRate,reach-v1/SuccessRate,pick-place-v1/Iteration,pick-place-v1/MinReturn,drawer-close-v1/StdReturn,button-press-topdown-v1/CompletionRate,ped-insert-side-v1/SuccessRate,Average/MinReturn,reach-v1/AverageReturn,basketball-v1/MinReturn,ped-insert-side-v1/AverageDiscountedReturn,Average/AverageDiscountedReturn,Iteration,drawer-close-v1/AverageDiscountedReturn,reach-v1/NumTrajs,ProcessExecTime
0,-10.624189840746537,0,0.0,50,30,-16.823769812525363,-1,-0.010390100069344044,-10.657218171203922,1.6528282882248782,-15.966379689566493,-13.299728090995734,-18.82108790672037,-34.2856778480501,0,-12.413462390304689,1.0,-1,0.0,1.0,-19.018678252029744,0,-1,20,20,-12.253850415824445,-15.249397734280166,-11.611196540316547,0.0,3.3742840233778706,-26.75488055633248,40000,0.0,20,-11.427726802740459,1.0,0,-1,1.0,1.0,0,-1,5.667671203613281,-18.70984115734379,2.821941457288399,1.0,-19.31512058503072,-36.930231128960266,427.01592540622596,0,10721.53200961454,0,1207.841607949424,1963.8377513727671,0.00968040619045496,10,0.0,6630.33526964029,-1,0.0,30,0,2.0576708220999076,0.07446074485778809,-9.104377596898358,1.0,10721.53200961454,3.341871264620479,1.0,-28.73677429497458,200,-23.30070676296742,-11.834674589302661,0.0,1.0,0.9229259490966797,-1.0,-9.81070970268828,-11.780682831130449,-14.6504689727178,-1,-0.020070506259799004,-1,-11.637602038226605,5.520393719443994,0.0,5705.639765257521,10,0.008945452980697155,-14.363194186731393,-40.15474065546988,-23.245440900133477,1.419630078974697,0.0,0.0,0,-24.67812539164394,1.2918453892001174,1.0,0.0,-40.15474065546988,8905.807647623637,-24.662459937270704,-8.32215060521607,273.8566882611399,0,-7.866793606042966,10,0.016672134399414062
1,-1,1,0.0,30,30,-1,1,-0.012390661053359509,-9.542673571746468,1.6100041128693132,-1,-1,-19.326436776599355,-30.440743958492135,1,-12.463670870569336,1.0,1.0,-1,1.0,-19.657221863633826,1,30,50,-1,-11.241700689797593,-14.6783472476719,-11.965540643718006,0.0,2.9113734116041043,-28.01328183205209,80000,0.0,30,-11.587708317455805,-1,-1,1.4426337017273583,1.0,1.0,1,-19.867900806091317,5.646297454833984,-17.256144083338103,-1,-1,-17.79293976554852,-35.40090141357967,382.43244697714294,1,10562.408854649959,1,1282.3621909269623,1767.322813421355,0.007347666658461094,10,0.0,5891.543772490699,-13.554837436184965,0.0,-1,-1,2.8559890240487924,0.14400267601013184,-8.287077343917225,1.0,10562.408854649959,3.7564427419500785,1.0,-1,200,-22.44295402737671,-11.016768156803847,0.0,1.0,1.3408372402191162,-10.079042420577899,-9.464211870333195,-10.899947735381211,-1.0,0.0,-0.019738327711820602,-15.645006170609546,-12.825820974636768,5.647491526926737,0.0,5093.283971624549,10,0.008295231498777866,-14.719442017272165,-38.965941418630045,-1,-1,0.0,0.0,1,-24.24671616039869,1.4181657696418206,1.0,-1,-38.965941418630045,7983.900451944215,-23.585205851239238,-1.0,244.07478106211204,1,-7.268968403727312,10,0.03325605392456055
2,-10.436568297730732,2,0.0,20,10,-16.911762449977708,2,0.009186793118715286,-9.831420485413775,1.1099524419386617,-16.2715318391632,-13.502906359317445,-18.11306176698364,-27.901245558451976,2,-12.838496180936358,1.0,1.0,0.0,1.0,-16.589309746715273,2,20,30,20,-11.780538017849135,-15.288868249297987,-11.321004907393347,0.0,3.1479673261921657,-25.018258951976144,120000,0.0,10,-12.938814157622652,1.0,2,1.4301939000658053,1.0,1.0,2,-17.704293964279877,5.664865016937256,-0.8138612713476052,2.9327354189082353,1.0,-15.823391479698468,-32.79669866682064,850.6429028404175,2,11564.720048695262,2,1717.488967732407,2662.2363587284813,0.007534872507676482,10,0.0,5140.9070577502,-12.452049507302785,0.0,10,2,2.5701915753656768,0.1118764877319336,489.5543858594217,1.0,11564.720048695262,2.201875633417699,1.0,-27.300472309179042,200,-20.906749725266582,-9.967742646710679,0.0,1.0,0.9155638217926025,-9.804033630945586,-9.901491532831038,2.440199194300383,-13.64992149195138,0.0,0.001651920611038804,-15.171668327559484,-13.098589294086228,91.20491119693548,0.0,5491.315828403256,50,0.0068471841514110565,-14.047721552824697,-37.78241711806854,-21.4572383718911,1.9305717712102581,0.0,0.0,2,-23.207273577932135,1.3635143567243801,1.0,0.0,-37.78241711806854,8668.60422149148,-20.089309828544476,-8.46511483091364,539.2553472513376,2,-7.612098326331006,20,0.021425962448120117
3,-1,3,0.0,20,20,-14.730189249886077,3,-0.006388590671122074,-9.260041188078105,1.5854126592817517,-1,-1,-16.288491594881044,-29.168831390737513,3,-12.298481944843495,1.0,1.0,0.0,1.0,-17.998952011897675,3,20,20,-1,-11.576306686731398,-14.711590025570379,-10.231510232430228,0.0,2.4713230884840054,-25.650032729584353,160000,0.0,20,-11.679037222539739,1.0,3,1.3104065640278328,1.0,1.0,3,-17.302247491982715,5.657711505889893,-14.899592448414017,3.496290707796394,-1,-17.235328271930637,-32.121782121111146,944.2451896500758,3,12258.682926984635,3,1499.0737639981767,2919.312105924136,0.011393229477107525,50,0.0,7227.279554738651,-12.030615713512116,0.0,20,-1,2.348794070204461,0.17696094512939453,-7.009641742565873,1.0,12258.682926984635,2.4011411927943076,1.0,-25.027905289258463,200,-20.55122918362778,-10.782689355818189,0.0,1.0,1.4191007614135742,-9.496099780893006,-9.555383317598052,-9.440855501914285,-13.300782498869552,0.0,-0.0177818201482296,-14.55488449669553,-11.97703850842212,5.341230877866996,0.0,5965.449801290177,10,0.008651675656437874,-15.357208634944266,-36.043291806011005,-20.785790148569834,-1,0.0,0.0,3,-21.690705060580537,1.397509074332167,1.0,-1,-36.043291806011005,9585.929231264205,-21.755988939994058,-1.0,587.3670656565374,3,-7.478483778185785,20,0.03629326820373535
-1,-8.933251804148135,4,0.0,30,-1,-15.107211413441636,-1,0.0005532624782063067,-8.944957154525667,-1,-15.99869122268777,-12.645748402470199,-16.226329241626903,-27.648437145590936,-1,-1,1.0,-1,0.0,-1,-1,4,-1,30,20,-11.595863712421583,-1,-10.261059785750708,0.0,3.0835760072993867,-25.88164775435042,200000,-1,-1,-1,1.0,4,-1,-1,1.0,4,-1,5.6613240242004395,-17.276170631681428,2.815984713149005,1.0,-1,-31.321920013366245,963.9693574608187,4,11386.910051181208,4,1305.4231255113618,2976.844544386597,0.00915092701325193,30,-1,5664.430073695323,-1,0.0,40,4,2.1991931573938492,0.17087078094482422,-9.13786998605782,1.0,11386.910051181208,-1,1.0,-25.5112065930611,200,-20.113925522829813,-1.0,0.0,1.0,1.1734108924865723,-1.0,-1.0,-11.016981671791648,-13.213627402659284,-1,-0.008597664535045624,-1,-10.186728101585254,4.995921317024952,0.0,6136.7226178379915,30,0.007276205811649561,-14.17633247637935,-35.86403702023108,-20.61203865182714,2.008178812615447,0.0,0.0,4,-21.593856768059773,1.5428826505058482,1.0,0.0,-35.86403702023108,9808.193825712957,-1,-8.030549760081088,602.8938687922496,4,-7.492116586357687,20,0.021753787994384766
5,-10.289044120499476,5,0.0,30,20,-17.646181386510523,5,-0.001261907396838069,-1,1.3558157261983648,-15.532934256602756,-12.979155903195949,-15.070287732981523,-25.608967837002073,5,-11.36469161783601,1.0,1.0,0.0,1.0,-17.297571662715054,5,30,10,10,-1,-14.350457670034018,-9.737416165635034,0.0,1.7480685051476872,-20.258029003919706,240000,0.0,40,-10.453972433468413,1.0,5,1.2684138071630198,1.0,1.0,5,-17.325300106300073,5.664605617523193,-14.998254750002545,2.18306320156172,1.0,-13.709223365593157,-30.2005632454429,1082.3391028702822,-1,13794.926555390624,5,1648.2150556376016,3339.027738652804,0.008644722634926438,-1,0.0,7304.501539895617,-12.71048999943564,0.0,20,5,3.303923605516198,0.10718345642089844,-7.749975478035667,1.0,13794.926555390624,2.2113052605133348,-1,-25.201118417055365,200,-19.555996878753362,-8.842700554064908,0.0,1.0,1.4016048908233643,-9.674462658756186,-9.37398186906242,-9.60938753349787,-13.933750020843823,0.0,-0.009906630031764507,-14.869858223948908,-11.792171850769906,3.7794453778803017,0.0,6752.681130615895,20,0.007019491400569677,-1,-34.94980110140949,-21.71705858449095,1.7232283993079698,-1,0.0,5,-18.223781611752873,-1,1.0,0.0,-34.94980110140949,10976.617713500413,-18.575378141624682,-8.231618806889303,665.3562398017328,5,-1.0,20,0.023721694946289062
6,-10.338217593654939,6,0.0,20,20,-14.207844573728682,6,0.004481601063162088,-9.150029402638104,1.420479083831764,-17.423172634680135,-12.911182765139904,-15.798520215652298,-25.133459985323913,6,-11.124170887612348,1.0,1.0,0.0,1.0,-17.30720310152003,6,20,10,20,-11.175773368606972,-13.825403016612757,-10.056808210745917,0.0,2.2181074069191107,-23.852388180285242,280000,0.0,30,-10.835136294203624,1.0,6,1.6490650418545045,1.0,1.0,6,-17.724815998574194,5.6721320152282715,-16.58419788304491,1.9881859363285297,1.0,-15.18781082248699,-30.465337833812466,546.6538441996269,6,14211.087638417559,6,1810.5009555934175,2490.8249233739084,0.010587106458842754,20,0.0,8027.384944791841,-11.48423085089808,0.0,20,6,2.825998678669995,0.09174108505249023,-9.716223884064389,1.0,14211.087638417559,2.7386791530622183,1.0,-22.989881186563174,200,-19.707614688775333,-9.667517292094566,0.0,1.0,0.7628333568572998,-9.370645548866232,-9.074034320718338,-10.76724133238773,-12.484528720299732,0.0,-0.006105505395680666,-14.227089525592367,-11.894155594864472,4.48799901167113,0.0,6852.31916377081,30,0.007345701102167368,-14.037416070799365,-35.09292397787202,-19.18549478002427,1.823105433774374,0.0,0.0,6,-22.721305077850353,1.4662323909688266,1.0,0.0,-35.09292397787202,11259.505047381866,-19.381407786625296,-8.157614041098855,332.0582777432369,6,-7.283596459495769,10,0.015980005264282227
7,-1,7,0.0,20,20,-13.807522597540146,7,-0.013279924169182777,-8.66066721332352,-1,-1,-1,-14.35105012592471,-24.595662282458445,-1,-1,-1,1.0,0.0,-1,-1,7,20,60,-1,-10.99653212831237,-1,-9.244701019128927,0.0,1.127051501682862,-23.208967640920726,320000,-1,-1,-9.726486048930362,1.0,7,1.3273708389634464,1.0,1.0,7,-15.67744046565159,5.6604533195495605,36.0793388192877,2.470874148161132,-1,-15.656314673172835,-28.118346118706715,-1.1513983290321084,7,-1,-1,-1,154.6141094166338,0.011204525828361511,30,0.0,-1,-11.258569151666714,0.0,20,-1,2.2591286671897852,0.07903528213500977,1866.836434190414,1.0,1866.836434190414,2.878593444495012,1.0,-23.46479535076906,200,-18.36539541992379,-9.827086146393214,0.0,1.0,1.019453763961792,-8.850251632210023,-1.0,22.125805067943904,-11.587552224399387,0.0,-0.02448444999754429,-13.322206757909731,-11.86298907776354,278.582076440745,0.0,-1.0,30,0.00709379930049181,-14.738458141592359,-32.91884631775316,-17.75011082064829,-1,0.0,-1,7,-16.717985299550516,1.497150408737083,1.0,-1,-32.91884631775316,-1,-20.9597676636877,-1.0,-1.1439902720496276,7,-7.173089181540487,-1,0.02147221565246582
8,-9.660653859733948,8,0.0,10,10,-1,8,0.005136922933161259,-7.905841904455002,0.8883193255972655,-15.237898918988414,-12.346237130023066,-16.28145223527225,-24.038065736434824,8,-11.67198433721205,1.0,1.0,-1,1.0,-15.443506433531724,8,40,20,40,-9.798232056012818,-13.031667297373994,-10.275349690996999,0.0,2.679928900546939,-22.655815548203485,360000,0.0,20,-11.824885953044179,-1,-1,1.3700987085494556,1.0,1.0,8,-15.362020908021215,5.669119358062744,-12.506168832002412,-1,1.0,-17.479389102785237,-27.88724003187864,2069.1803704969625,8,12777.53776580293,8,1348.9646970301142,4209.770320864408,0.006910689175128937,10,0.0,7523.963690432495,-9.190880610943784,0.0,-1,8,2.7549643927858254,0.09000873565673828,10.444936824258658,1.0,12777.53776580293,3.144167830853892,1.0,-1,200,-18.378643500702896,-10.900368147626574,0.0,1.0,0.7902610301971436,-8.657905721640558,-8.64535736362062,-8.441785429875779,-1.0,0.0,-0.001773766241967678,-12.93771678204188,-12.103719714908646,6.998050734766045,0.0,6441.165517166146,10,0.00702927028760314,-13.382170649116839,-31.48334025846135,-1,1.448026165230589,0.0,0.0,8,-19.643497010364992,1.57705310653317,1.0,0.0,-31.48334025846135,10401.816302818052,-21.341364390690384,-7.875127296281607,1280.9150586217193,8,-6.500117232191488,40,0.016689538955688477
9,-1,9,0.0,50,30,-1,9,-0.014735301956534386,-7.741734652668392,1.084041809124828,-1,-1,-14.624160155440833,-22.80751278643626,9,-11.440669988832482,1.0,1.0,-1,1.0,-15.307768483684642,9,20,20,-1,-9.975861325054584,-12.772164747726297,-9.3736426468806,0.0,2.6770019688895683,-19.519433280100678,400000,0.0,20,-10.150033187714607,-1,-1,1.3060569155242097,1.0,1.0,9,-15.309855713327387,5.65087890625,-14.4139320971717,-1,-1,-15.262468005507003,-27.030933444768948,1099.4649175126196,9,15474.731175728726,9,1814.9126377059079,3395.354533407911,0.010153895244002342,10,0.0,8427.306459206653,-10.172210342175548,0.0,-1,-1,2.6692831899385054,0.11176228523254395,-6.684897212783808,1.0,15474.731175728726,3.6754898901523196,1.0,-1,200,-17.87344882654702,-9.704930854036787,0.0,1.0,0.996675968170166,-8.23816606969364,-8.464921888916251,-9.466748041330941,-1.0,0.0,-0.024889197200536728,-12.118394493675506,-9.795536541490874,3.9276306514789243,0.0,6865.4188903124905,30,0.007019314914941788,-14.079774324680292,-31.94934942285006,-1,-1,0.0,0.0,9,-22.515714738582833,1.6588225108719619,1.0,-1,-31.94934942285006,11138.942099691314,-23.741949638015814,-1.0,677.1152152697421,9,-6.590450954103105,20,0.023593425750732422
