ped-insert-side-v1/AverageDiscountedReturn,GaussianGRUPolicy/LossAfter,ped-insert-side-v1/NumTrajs,push-v1/StdReturn,reach-v1/AverageReturn,door-v1/MinReturn,sweep-v1/AverageReturn,sweep-v1/MinReturn,pick-place-v1/SuccessRate,window-open-v1/NumTrajs,window-open-v1/MinReturn,basketball-v1/CompletionRate,sweep-v1/MaxReturn,basketball-v1/MinReturn,pick-place-v1/MinReturn,drawer-close-v1/MaxReturn,pick-place-v1/CompletionRate,Evaluation/MinReturn,reach-v1/CompletionRate,Evaluation/NumTrajs,GaussianGRUPolicy/Entropy,pick-place-v1/AverageDiscountedReturn,basketball-v1/StdReturn,ped-insert-side-v1/CompletionRate,push-v1/CompletionRate,drawer-close-v1/SuccessRate,drawer-close-v1/NumTrajs,button-press-topdown-v1/SuccessRate,GaussianGRUPolicy/LossBefore,Evaluation/StdReturn,sweep-v1/AverageDiscountedReturn,basketball-v1/AverageDiscountedReturn,pick-place-v1/NumTrajs,Evaluation/AverageReturn,button-press-topdown-v1/MinReturn,drawer-close-v1/CompletionRate,button-press-topdown-v1/MaxReturn,pick-place-v1/MaxReturn,push-v1/NumTrajs,ped-insert-side-v1/AverageReturn,window-open-v1/AverageReturn,sweep-v1/StdReturn,reach-v1/StdReturn,push-v1/AverageReturn,drawer-close-v1/Iteration,door-v1/StdReturn,window-open-v1/MaxReturn,reach-v1/MinReturn,basketball-v1/Iteration,reach-v1/MaxReturn,Evaluation/AverageDiscountedReturn,door-v1/AverageReturn,door-v1/Iteration,push-v1/MinReturn,sweep-v1/NumTrajs,button-press-topdown-v1/AverageReturn,window-open-v1/StdReturn,reach-v1/NumTrajs,push-v1/Iteration,Evaluation/SuccessRate,basketball-v1/MaxReturn,sweep-v1/Iteration,pick-place-v1/StdReturn,sweep-v1/SuccessRate,push-v1/MaxReturn,basketball-v1/AverageReturn,button-press-topdown-v1/NumTrajs,TotalEnvSteps,drawer-close-v1/AverageReturn,GaussianGRUPolicy/dLoss,door-v1/CompletionRate,button-press-topdown-v1/StdReturn,button-press-topdown-v1/AverageDiscountedReturn,ped-insert-side-v1/SuccessRate,push-v1/AverageDiscountedReturn,push-v1/SuccessRate,button-press-topdown-v1/Iteration,basketball-v1/NumTrajs,button-press-topdown-v1/CompletionRate,GaussianGRUPolicy/KLBefore,ped-insert-side-v1/MaxReturn,drawer-close-v1/StdReturn,ped-insert-side-v1/StdReturn,Evaluation/CompletionRate,drawer-close-v1/MinReturn,ped-insert-side-v1/MinReturn,door-v1/AverageDiscountedReturn,window-open-v1/CompletionRate,Entropy,door-v1/SuccessRate,window-open-v1/Iteration,door-v1/MaxReturn,drawer-close-v1/AverageDiscountedReturn,reach-v1/AverageDiscountedReturn,sweep-v1/CompletionRate,door-v1/NumTrajs,Evaluation/Iteration,reach-v1/Iteration,window-open-v1/AverageDiscountedReturn,window-open-v1/SuccessRate,pick-place-v1/AverageReturn,reach-v1/SuccessRate,GaussianGRUPolicy/KL,Perplexity,basketball-v1/SuccessRate,ped-insert-side-v1/Iteration,Evaluation/MaxReturn,pick-place-v1/Iteration
-12.58333869694697,0.05134124,40,5.935963266537989,4766.736610861868,-57.74707239850376,-29.951221740785996,-44.79759534399637,0.0,40,-50.410703162435794,1.0,-15.769690980456796,-58.92568332789603,-53.27673296798604,6461.466937527091,1.0,-67.17244186326646,1.0,400,5.693214,-15.579382478355104,9.746485675004902,1.0,1.0,0.025,40,0.0,-1.5258789e-09,3168.0193550176077,-14.974222789179123,-14.9395209877133,40,653.2906811870571,-67.17244186326646,1.0,-29.193327464256264,-17.006351558380818,40,-25.623284037335917,1863.5137222133933,6.577680719779366,3910.3876840377907,-30.327061205892466,0,6.948900544233445,37436.7740357457,846.5697861963772,0,17288.32173550451,399.58166360744775,-39.346137782819255,0,-44.96649462372215,40,-50.89444351118003,7879.879517823076,40,0,0.0025,-17.383624904414944,0,8.022394871528958,0.0,-21.43578261200396,-30.864927452377668,40,60000,141.28564579043,-0.05134124,1.0,7.874261129127418,-26.321157594478628,0.0,-15.048444272297706,0.0,0,40,1.0,0.0,21.051658513998426,1012.0659572446583,10.368722449527803,1.0,-36.47690301635013,-51.98682524464282,-19.98573633743313,1.0,5.675754070281982,0.0,0,-24.30628310289974,26.812143253739144,3496.3472867383753,1.0,40,0,0,592.0890092387673,0.0,-31.622091264727736,0.0,0.38130438,291.7082241331357,0.0,0,37436.7740357457,0
-12.096967534007216,0.0026949397,40,35.34853879090616,1936.8561808505783,-56.90123450970036,20.38247700667236,-42.28520413104317,0.0,40,-51.89586570033259,1.0,1444.137422710652,-67.35995381412557,-74.97783381508972,22936.709477755867,1.0,-74.97783381508972,1.0,400,5.6998587,-18.36942575438082,12.46899069617142,1.0,1.0,0.05,40,0.0,3.0517577e-09,2732.80803596691,-1.0232128768913569,-16.565600777768545,40,369.38278633693517,-70.61762666375375,1.0,-31.02383536762929,-20.085504727352017,40,-24.30491398653511,1393.3776396839637,235.13553055890753,942.8200715893527,-18.090960578819143,1,7.766781588496279,47357.84733566444,691.7669666339292,1,4303.9813268084,220.48327148754478,-41.89779332880497,1,-36.28782136142299,40,-51.26365762446339,7499.774455333993,40,1,0.0075,-16.895113664970264,1,13.571329372498608,0.0,137.8140849665299,-35.03134238071516,40,120000,552.2394243509045,-0.0026949367,1.0,9.112545371920302,-26.463744598881465,0.0,-11.199701521778556,0.0,1,40,1.0,0.0,41.21723268993338,3584.387998093596,12.074508689919332,1.0,-34.91508415248427,-44.02404586855656,-20.56915632785472,1.0,5.693212509155273,0.0,1,-23.055593584487045,198.8363647833766,1645.9443732031637,1.0,40,1,1,466.3397862804703,0.025,-38.43919062342962,0.0,0.008138424,296.8457100849932,0.0,1,47357.84733566444,1
-12.21453025164804,-0.0013712057,40,7.057987258625034,1721.3771707692188,-53.84285885332047,-29.36390869297686,-46.92662475539105,0.0,40,-45.4945989024304,1.0,-17.3839682485259,-71.63664995788938,-50.86899624548985,578.782134225763,1.0,-73.09985362649665,1.0,400,5.703102,-15.244817372063887,10.576212513182993,1.0,1.0,0.05,40,0.0,-5.086263e-10,1475.6198390431696,-14.586195741390792,-14.84995676951264,40,216.81074330683933,-73.09985362649665,1.0,-33.97489671750687,-18.99863596723249,40,-24.677044540263317,687.3066419545623,6.6481585649969235,782.1093791856418,-29.538242230864192,2,7.938965288693942,27284.237141992893,569.277493699021,2,3876.0770200365264,154.35815517645963,-34.15227813278938,2,-44.49402401097488,40,-52.38206125473287,4263.763043433435,40,2,0.005,-15.896529364728972,2,8.494254083425323,0.0,-15.14954082823406,-31.223531888793694,40,180000,-7.663104695333894,0.0013712052,1.0,9.03088552508171,-26.86538407005918,0.0,-14.758379058780855,0.0,2,40,1.0,0.0,-14.368124720874166,94.67076572010649,6.173456516600233,1.0,-41.54960833391893,-36.29870073931733,-17.493870859778596,1.0,5.69985818862915,0.0,2,-16.919414192025197,-7.303412360629187,1466.5135218721641,1.0,40,2,2,200.38457637629526,0.0,-31.576208219633884,0.0,0.005153744,298.825021176266,0.0,2,27284.237141992893,2
-12.048148927999417,-0.0023004075,40,7.113525640172886,2076.345902437815,-50.322845031356245,35.11276245508249,-52.91044642368345,0.0,40,-42.096367297795574,1.0,2577.0405828435637,-52.689941995447846,-62.43168854324208,1306.8183362395432,1.0,-66.93564068620039,1.0,400,5.7023244,-16.031020809642637,10.036735913321374,1.0,1.0,0.125,40,0.0,-0.0,1813.9627832606197,6.324645880043815,-14.368794762014252,40,304.2665480995149,-66.93564068620039,1.0,-34.621394809106796,-20.261559038867635,40,-24.9328674581046,1124.1953099851225,407.1133209492591,1079.4984584448018,-28.970954289841778,3,6.828288142485987,30297.859447481173,416.4209321908408,3,5386.446156825543,201.57623814435675,-33.8306538157133,3,-43.642603752131336,40,-49.57453078530441,5183.8433278969205,40,3,0.015,-19.27715497309987,3,9.406298411402801,0.0,-16.238176360754643,-29.41767474856136,40,240000,7.367191773783349,0.0023004075,1.0,8.358791311523733,-26.000285528260168,0.0,-14.40224397709079,0.0,3,40,1.0,0.0,-17.390769073902227,208.19150727408356,5.221879022164051,1.0,-37.64851880813134,-39.04566038861825,-17.50956002006746,1.0,5.703102111816406,0.0,3,-22.026891104826607,-2.6694901458669946,1750.1807898375287,1.0,40,3,3,362.28648989693664,0.025,-33.629004559128596,0.0,0.0063276454,299.79596056635654,0.0,3,30297.859447481173,3
-13.9773872036076,-0.0022405828,40,35.03992488401041,2272.0133697592632,-59.42325516506741,51.693854372803045,-45.37796680885103,0.0,40,-37.59790321361275,1.0,2181.0655644120893,-54.08096567453796,-60.80687713066638,-16.073551567431277,1.0,-60.80687713066638,1.0,400,5.700088,-16.135555780371494,12.573036005444402,1.0,1.0,0.075,40,0.025,1.5258789e-09,1638.9381887169625,12.76371480480365,-14.277105154407291,40,336.4310632401331,-57.04853189796945,1.0,22057.666425014682,-0.6143848901155231,40,-29.793883701974714,496.8824769911686,362.03442253281037,1199.0430811834985,-22.24821716777622,4,7.002936336188806,17061.56295148208,598.4937991335902,4,6542.5131512606695,219.08458787735879,-29.81156230698813,4,-40.83318447254522,40,718.0417710516397,2681.619784706765,40,4,0.01,28.75000611612141,4,10.915388566732666,0.0,181.99532400093088,-29.709292068693106,40,300000,-28.833000175235203,0.0022405845,1.0,3646.8084694062686,200.44664295380244,0.0,-12.299662685246311,0.0,4,40,1.0,0.0,-20.09453329657518,7.175122377949487,6.127586027824171,1.0,-51.02633835933272,-45.973899623635404,-15.698084467070185,1.0,5.702325820922852,0.0,4,-19.00567449844878,-13.891224855822987,1928.402061668293,1.0,40,4,4,135.5124794932143,0.0,-33.92488435287633,0.0,0.0056947223,299.56332200152696,0.0,4,22057.666425014682,4
-15.318678650977143,-0.002279063,40,6.960443746901908,2375.4788236971312,-47.76525548360785,-31.583491842030934,-47.000282595111926,0.0,40,-29.006442326379553,1.0,-18.172155135838743,-52.95870973212848,-57.74691445605713,-15.245572633304581,1.0,-57.74691445605713,1.0,400,5.69654,-15.892089667131163,10.635119407920945,1.0,1.0,0.275,40,0.05,-2.5431315e-09,3050.9260952346804,-15.37705880281917,-15.113764105612916,40,445.8692218952412,-54.436971733207464,1.0,10014.755214669536,-19.28760302099136,40,-33.34018888757437,2092.7296792397974,7.011362613020689,1340.4933961266977,-32.61129263030132,5,8.663602555877144,43083.054591324435,807.0120201647625,5,7743.451051795549,270.9987707717694,-30.149347116930052,5,-45.141574488183885,40,214.98077063406026,8985.193582978345,40,5,0.0375,-4.76288113208445,5,8.38971285232098,0.0,-19.495950833014273,-32.26868458076556,40,360000,-29.6847981933851,0.0022790604,1.0,1569.2383763383666,94.00898977784468,0.0,-15.727645077486917,0.0,5,40,1.0,0.0,-19.385639834152908,8.8724855412814,8.409245878577027,1.0,-50.15568821872736,-52.13729681206431,-15.427432501541698,1.0,5.700088024139404,0.025,5,-15.996380288289776,-14.218348778267863,1967.0753655805026,1.0,40,5,5,755.9783699431838,0.025,-34.859251367589636,0.0,0.0050727082,298.8937096707099,0.0,5,43083.054591324435,5
-14.201009714549537,-0.0017591568,40,8.09448834870568,2625.4765870910396,-44.74164757611638,-30.399708996158232,-49.40037699423074,0.0,40,-40.25492022815317,1.0,-13.026704627103985,-55.585813359666666,-63.15513773432493,-15.596105956370153,1.0,-63.15513773432493,1.0,400,5.6914873,-15.80676858638061,9.608882420317444,1.0,1.0,0.15,40,0.025,-2.0345052e-09,3714.1289426955905,-14.949175102095177,-16.24271285645554,40,643.2977905241834,-46.44516848867972,1.0,12219.27171074133,-19.468442120357146,40,-30.825520229616064,3061.7027095385915,8.149757947872311,1388.8194236066258,-31.118554843416746,6,11.646312249453635,49187.881666455396,792.3624081181682,6,5514.876361496684,332.27019517006164,-27.061292261876304,6,-49.63505777419388,40,966.544244303473,10701.972110402108,40,6,0.0225,-17.83966084327544,6,8.87636435810156,0.0,-16.37389540927346,-34.89041466198964,40,420000,-32.78094179921901,0.0017591548,1.0,2901.017994935014,252.95046555172507,0.0,-14.827058986603461,0.0,6,40,1.0,0.0,-18.97466966324912,9.024059122994815,6.88301697819632,1.0,-49.961639151130576,-47.274915962518435,-14.572320044204014,1.0,5.696539878845215,0.0,6,33.76110583891999,-15.50055097169178,2209.0411893945084,1.0,40,6,6,966.8098930163629,0.05,-33.66920289899376,0.0,0.0030786886,297.83507057457246,0.0,6,49187.881666455396,6
-15.597099697458656,-0.00090112205,40,6.985946887195921,2521.789521681513,-46.54095079927525,66.54303100319622,-47.83709607612882,0.0,40,-35.041421329735854,1.0,3887.0610492626793,-57.37221067019235,-61.8213189776772,-19.052900113713317,1.0,-61.8213189776772,1.0,400,5.6911035,-18.38016326528992,10.13308617635992,1.0,1.0,0.175,40,0.075,1.0172526e-09,2260.9644555720524,22.69951706993822,-15.89406160283978,40,432.6194319942084,-43.381794415202336,1.0,36614.670393083725,-21.9602013662127,40,-34.20993550085675,200.31990123305906,611.8208264067991,1138.4365017439723,-32.619455339759995,7,18.18513207237507,4687.256461047528,804.3707666938532,7,5047.194028223586,256.0601183878649,-23.761040162953663,7,-47.526253149895986,40,1735.7491938086036,888.9522266365295,40,7,0.025,-18.870208140244824,7,9.808828699018276,0.0,-20.501239547401426,-33.811158974549414,40,480000,-33.59602649748416,0.00090112304,1.0,6411.424188125905,434.72343333734705,0.0,-15.464006832955956,0.0,7,40,1.0,0.0,-18.981700581987173,9.786675760018664,8.621964157656627,1.0,-52.073953339218754,-54.79476070179241,-12.73960303301303,1.0,5.691486835479736,0.0,7,73.98312015320249,-15.964017815228555,2143.3987326473707,1.0,40,7,7,53.8184530707794,0.0,-40.20971130868392,0.0,0.003997483,296.33389299905315,0.0,7,36614.670393083725,7
-17.660626548044522,-0.0021702282,40,6.655341338553253,2536.5696924378854,-40.986384428124104,-31.78647671175846,-44.57555901106986,0.0,40,-30.875752309032794,1.0,-19.406334185523473,-67.43759958574474,-63.7782345609772,-16.96518481774096,1.0,-67.43759958574474,1.0,400,5.6910734,-18.970553755617495,11.585148511179606,1.0,1.0,0.35,40,0.05,2.5431315e-10,3293.6390926166,-15.143991134298641,-17.39589885441705,40,634.2390796614615,-42.217437616960076,1.0,16910.737916838112,-23.011268597231204,40,-39.45910563284127,2178.954875021581,6.3102341280543905,1097.794159664839,-30.50760930492421,8,7.283260802923249,52283.03898384944,822.3492066371277,8,5108.342135846229,332.80921158088984,-26.387345634028897,8,-42.69887680519869,40,1863.1547897435807,8793.001331647129,40,8,0.0425,-19.25294038530092,8,10.042175954685572,0.0,-17.56432577436065,-36.47153658443732,40,540000,-29.855582044583578,0.0021702284,1.0,4395.348694472296,652.8321114468823,0.0,-14.459104930592616,0.0,8,40,1.0,0.0,-24.01993334965024,8.65034521228958,8.622634798495062,1.0,-51.6423746778107,-59.35415760630554,-13.896256821747823,1.0,5.691103458404541,0.0,8,-10.950926187902997,-14.465533111269384,2117.8711884672784,1.0,40,8,8,669.3807810507249,0.025,-41.82090467585704,0.0,0.0026808453,296.22030715236997,0.0,8,52283.03898384944,8
-17.418811341162975,-0.0014432654,40,7.538490013066071,2900.7652398251716,-43.809324650901,-34.67061757078905,-47.3425865727455,0.0,40,-26.730775589248744,1.0,-23.325592131096315,-65.18520292756146,-63.45790642316143,-16.786372880959014,1.0,-65.18520292756146,1.0,400,5.688912,-18.415668894981252,11.182178350604667,1.0,1.0,0.275,40,0.0,-4.7047934e-09,9913.333912360426,-16.34117937070506,-18.013970706996428,40,1584.0844476326834,-40.11560034382794,1.0,13211.585037910343,34.97292662031189,40,-39.08934951813664,12358.773002184995,5.619325851626282,1632.1172962193234,-34.19288486797328,9,9.981958392329485,105147.8150790091,989.9940200729877,9,10811.42610327019,649.7518186386696,-28.3106039782782,9,-48.313132845775456,40,831.200075804934,28908.98519075556,40,9,0.045,-18.05735005482136,9,15.465636938268968,0.0,-20.17822608645432,-38.744948603893455,40,600000,-33.56816694178944,0.0014432607,1.0,2754.545393799331,258.92901288419006,0.0,-15.934386552003886,0.0,9,40,1.0,0.0,-22.41504331420801,9.803437880566346,9.44316662114957,1.0,-55.996003183475835,-63.63071547428164,-14.87753697723132,1.0,5.691073417663574,0.0,9,22.984656240187146,-16.10794029582501,2362.6899724411874,1.0,40,9,9,3993.008695200225,0.175,-41.31727000740479,0.0,0.0043636523,296.2114086085138,0.0,9,105147.8150790091,9
