basketball-v1/MinReturn,ped-insert-side-v1/MinReturn,window-open-v1/MaxReturn,reach-v1/AverageReturn,reach-v1/CompletionRate,drawer-close-v1/MinReturn,reach-v1/NumTrajs,pick-place-v1/Iteration,reach-v1/AverageDiscountedReturn,door-v1/MinReturn,button-press-topdown-v1/Iteration,ped-insert-side-v1/AverageReturn,GaussianGRUPolicy/dLoss,Evaluation/SuccessRate,window-open-v1/AverageReturn,GaussianGRUPolicy/LossAfter,sweep-v1/StdReturn,ped-insert-side-v1/NumTrajs,button-press-topdown-v1/AverageReturn,door-v1/NumTrajs,Entropy,drawer-close-v1/AverageReturn,drawer-close-v1/Iteration,window-open-v1/Iteration,pick-place-v1/NumTrajs,ped-insert-side-v1/SuccessRate,button-press-topdown-v1/SuccessRate,reach-v1/SuccessRate,pick-place-v1/MaxReturn,window-open-v1/CompletionRate,reach-v1/MinReturn,basketball-v1/SuccessRate,basketball-v1/CompletionRate,window-open-v1/AverageDiscountedReturn,door-v1/AverageDiscountedReturn,sweep-v1/MaxReturn,ped-insert-side-v1/CompletionRate,ped-insert-side-v1/Iteration,window-open-v1/SuccessRate,ped-insert-side-v1/AverageDiscountedReturn,sweep-v1/NumTrajs,Evaluation/NumTrajs,push-v1/StdReturn,reach-v1/StdReturn,push-v1/MaxReturn,drawer-close-v1/NumTrajs,basketball-v1/Iteration,basketball-v1/StdReturn,pick-place-v1/AverageDiscountedReturn,sweep-v1/SuccessRate,door-v1/CompletionRate,drawer-close-v1/CompletionRate,window-open-v1/MinReturn,drawer-close-v1/AverageDiscountedReturn,window-open-v1/NumTrajs,push-v1/NumTrajs,pick-place-v1/MinReturn,drawer-close-v1/SuccessRate,GaussianGRUPolicy/Entropy,Evaluation/AverageDiscountedReturn,sweep-v1/MinReturn,sweep-v1/AverageReturn,door-v1/SuccessRate,push-v1/MinReturn,sweep-v1/Iteration,push-v1/CompletionRate,button-press-topdown-v1/MaxReturn,pick-place-v1/CompletionRate,drawer-close-v1/MaxReturn,Evaluation/MinReturn,button-press-topdown-v1/AverageDiscountedReturn,basketball-v1/NumTrajs,ped-insert-side-v1/MaxReturn,basketball-v1/AverageReturn,TotalEnvSteps,Evaluation/CompletionRate,push-v1/SuccessRate,push-v1/AverageDiscountedReturn,GaussianGRUPolicy/LossBefore,Perplexity,Evaluation/Iteration,pick-place-v1/SuccessRate,push-v1/AverageReturn,Evaluation/StdReturn,drawer-close-v1/StdReturn,push-v1/Iteration,reach-v1/MaxReturn,door-v1/Iteration,button-press-topdown-v1/NumTrajs,button-press-topdown-v1/CompletionRate,door-v1/StdReturn,pick-place-v1/AverageReturn,sweep-v1/CompletionRate,GaussianGRUPolicy/KL,sweep-v1/AverageDiscountedReturn,door-v1/AverageReturn,basketball-v1/MaxReturn,reach-v1/Iteration,door-v1/MaxReturn,ped-insert-side-v1/StdReturn,GaussianGRUPolicy/KLBefore,Evaluation/MaxReturn,pick-place-v1/StdReturn,Evaluation/AverageReturn,button-press-topdown-v1/StdReturn,button-press-topdown-v1/MinReturn,basketball-v1/AverageDiscountedReturn,window-open-v1/StdReturn
-68.95099570445196,-40.389555059094604,555.6116247037653,1749.8175708483345,1.0,-51.07973916090237,40,0,1464.352705213844,-47.64813824886492,0,-24.842165575658047,0.008851767349243145,0.0025,1.2767133663956407,-0.008851766586303711,38.9079629715943,40,-44.32578822279926,40,5.675754070281982,-26.557547926742767,0,0,40,0.0,0.0,0.0,37.77415558072977,1.0,803.3854024736562,0.0,1.0,2.236725102575326,-16.79993727889896,181.81144073459723,1.0,0,0.0,-12.054817884784521,40,400,28.693503947163386,713.4464626268103,110.33735788813209,40,0,11.71921300395945,-16.06470033301242,0.0,1.0,1.0,-41.28239307188693,-13.000370231895914,40,40,-69.11040379105555,0.025,5.7210317,134.6371977371722,-48.80076625974585,-18.195703148227174,0.0,-42.46822029121658,0,1.0,-31.862626820727794,1.0,-15.445164426147421,-69.11040379105555,-23.992252955827567,40,-9.796206117458121,-33.44935723712698,60000,1.0,0.0,-10.992371994445573,7.629394338515283e-10,291.7082241331357,0,0.0,-18.61845878473133,579.5491952985274,7.102560064836742,0,3881.539972625372,0,40,1.0,7.136090500605181,-31.461612895116605,1.0,0.006723834,-11.452867764089447,-32.33260847738311,-10.874402012086021,0,-19.286842386794877,6.656801859741517,0.0,3881.539972625372,19.701669511615055,152.1311041946945,7.7797285695814375,-66.86285709209355,-15.860134501743397,95.67929464259903
-59.420469262323934,-53.737697544170416,417.87452861860976,4429.436108896187,1.0,-38.14880443257451,40,1,3038.7295540658806,-50.777164250854256,1,-27.048982476803154,0.0034761966422200974,0.0025,14.654472338217085,-0.003476199693977833,264.2788970896395,40,-43.02168288389115,40,5.721032619476318,-23.15282977736752,1,1,40,0.0,0.0,0.0,-17.41847423193327,1.0,885.5390645556641,0.0,1.0,6.069701539535304,-17.410299469041302,1558.8127745451095,1.0,1,0.0,-13.044846887866223,40,400,114.67487453758234,4226.0789979729025,610.9916941961316,40,1,9.008409310650439,-16.120700303117708,0.0,1.0,1.0,-42.87242813229693,-11.553391133034655,40,40,-61.01663022413478,0.025,5.77254,294.7780939591292,-45.36219224171998,28.110777047893425,0.0,-41.53661968323205,1,1.0,-26.06165882613429,1.0,-13.160612800250139,-61.01663022413478,-23.04791681819779,40,-15.942811506081506,-31.899354681594133,120000,1.0,0.0,-3.2478739743545604,-3.051757735406113e-09,305.2199363352625,1,0.0,5.3812981665627095,1890.691820925184,6.8903410610183125,1,18986.946258999626,1,40,1.0,7.287527663534157,-33.75064501162835,1.0,0.009423537,2.706291263823705,-33.939278896576454,-13.449309891085779,1,-21.568383702330195,8.153822849716471,0.0,18986.946258999626,12.513486270944085,428.4769882721,8.37254083965412,-60.060486859414,-15.299578692335691,111.81841711479305
-63.3410588395435,-52.229370058923365,335.7154759051713,9837.46508492084,1.0,-36.4215738241926,40,2,5658.8921597618355,-54.57935052831803,2,-26.336747808042595,0.0014699902815123456,0.0125,3.166276107190985,-0.0014699897728860378,57.30440524932587,40,-42.41388498957028,40,5.7725396156311035,-24.785020531330964,2,2,40,0.0,0.0,0.0,115.15423976576295,1.0,810.6774332772331,0.0,1.0,0.5885665067280609,-16.451003379730896,311.951429120323,1.0,2,0.0,-12.621738457966591,40,400,148.25528191614484,12998.9134763419,911.3733050495618,40,2,12.16987748010971,-14.369892472623297,0.0,1.0,1.0,-40.26842577653621,-12.35575862006284,40,40,-63.97056723188554,0.125,5.7688646,555.4495116872843,-37.755010426980476,-12.83866604347915,0.0,-45.11093281584339,2,1.0,-31.13685901311934,1.0,-13.238643988839524,-64.7696367391223,-23.061752172689626,40,-15.636767291108335,-35.51850225987284,180000,1.0,0.0,0.16722901164668044,5.086263077380693e-10,321.35280983685163,2,0.0,5.088406036038917,5064.444408628239,5.5531467940213695,2,58876.475287793975,2,40,1.0,8.897686351229947,-28.671129996981513,1.0,0.0075226524,-9.435414873860754,-31.535736267176116,-16.346240860279966,2,-15.236534028613873,7.906250040918719,0.0,58876.475287793975,28.629763039198327,964.3620079167617,7.29269302142283,-64.7696367391223,-16.857278430433098,74.8267487451545
-66.64230288316124,-50.77042774965984,385.51162870711266,12426.643411986635,1.0,-35.56381430756037,40,3,8141.046497926623,-51.99800704154006,3,-28.090480339212387,0.003200124103824309,0.0,-2.0764780230588764,-0.0032001230865716934,15.907545609809615,40,-45.714845329725264,40,5.768864631652832,-24.4561359178848,3,3,40,0.0,0.0,0.0,1.437524247917116,1.0,2468.7937980724855,0.0,1.0,-1.3872070988567402,-16.965843513610864,68.25686869115299,1.0,3,0.0,-13.400050320215033,40,400,646.2244880549872,9056.12040211645,4112.974406072712,40,3,19.616881413593063,-16.86686602689344,0.0,1.0,1.0,-37.93589349822313,-12.23053217503286,40,40,-57.00647940390676,0.0,5.718582,805.1279071803303,-42.7660559558128,-23.638572390702482,0.0,-45.42042408047745,3,1.0,-28.983736116863543,1.0,-13.62863942282327,-66.64230288316124,-24.397709946843676,40,-13.635239466855513,-34.220112655844375,240000,1.0,0.0,24.8611174654453,1.0172526154761385e-09,320.17401076986073,3,0.0,93.91936868503004,4709.132358141054,5.959666702730444,3,41066.06965585163,3,40,1.0,7.830851881067371,-34.76126719002395,1.0,0.008599494,-12.698752785600686,-32.956785863367045,49.82177846967946,3,-20.122710324981327,9.148868428419483,0.0,41066.06965585163,11.437897544642325,1229.4648102961844,7.262679786261298,-59.71775516190797,-16.681581721710746,73.45123223625943
-53.35847198928492,-47.44040929423219,73.900604816284,19548.07682378117,1.0,-40.41257524880073,40,4,12492.810033603822,-45.13531486420458,4,-28.620218084151777,0.0035784642068048544,0.01,-21.511235429207957,-0.0035784621722996235,131.96043737303572,40,-44.095282030692246,40,5.7185821533203125,-25.73641859999815,4,4,40,0.0,0.0,0.05,15.108543334497703,1.0,3553.5440409311605,0.0,1.0,-11.059822007794455,-16.983110439430213,804.6443021732663,1.0,4,0.0,-13.640653360782874,40,400,72.69128509143464,17917.836147881808,309.06014218305205,40,4,9.08749174605847,-16.659146450344885,0.0,1.0,1.0,-46.94768852296474,-12.766566526775009,40,40,-63.72470868595472,0.05,5.705276,1237.1695289621064,-45.28336804206508,-0.5994894703150535,0.0,-41.06887431301279,4,1.0,-34.44781486238987,1.0,-11.28455872332044,-65.37346323638353,-23.825070786408265,40,-18.00796117351385,-30.623479703221733,300000,1.0,0.0,-5.037209737229921,2.034505230952277e-09,304.4729208530188,4,0.0,-2.9527009784137235,8160.002518323189,7.274548389534716,4,96238.50508361588,4,40,1.0,5.627903218641163,-34.85933110926519,1.0,0.008864577,-6.490353605194639,-32.82632496503366,-15.04270465325898,4,-17.840216933288172,7.819125184654027,0.0,96238.50508361588,13.515220405248982,1932.625234341087,6.345084666916393,-65.37346323638353,-14.652811068798922,19.421270109668622
-60.979716459339194,-49.49342890535146,1050.3353369823758,19247.19646957276,1.0,-35.00183931331439,40,5,12103.68261534145,-42.62972843482807,5,-27.996866040281112,0.006208834618081638,0.01,30.890615788643498,-0.006208835635334253,182.7955557295773,40,157.94979485664606,40,5.705275058746338,-25.239480201728366,5,5,40,0.0,0.0,0.0,-18.67773194099712,1.0,2022.8474962746516,0.0,1.0,9.253114531551967,-16.443119883588267,1142.0368405049587,1.0,5,0.0,-13.50687608802728,40,400,34.61334559610283,10015.793721331827,180.812894584796,40,5,11.699341595679595,-15.682511004311726,0.0,1.0,1.0,-44.626676945407716,-12.426958174923369,40,40,-63.16621105850241,0.1,5.7239356,1205.247350345797,-42.64521262401519,7.60225344764504,0.0,-40.399977449326556,5,1.0,7916.296322395971,1.0,-14.487032930423439,-63.16621105850241,27.037747937834887,40,25.4651229514173,-34.34005905711079,360000,1.0,0.0,-11.052967412533912,-1.0172526154761385e-09,300.4481095644525,5,0.0,-19.654823109205672,6597.516382474718,5.333037740911339,5,37573.31881756786,5,40,1.0,5.892424007455446,-32.24614996601336,1.0,0.009394171,-2.0241143625288283,-31.542069076021562,-17.933591408889775,5,-18.896723243892517,11.493483166235103,0.0,37573.31881756786,11.837235130944562,1927.2619686215332,1242.3448832394167,-54.95668641045707,-16.363427426950913,188.22505128182547
-60.53220168396973,-47.59631132603843,155.23666114576423,42810.032677130264,1.0,-45.051195319713,40,6,24167.22947591733,-58.97759049516052,6,-25.964278103007434,0.006699874366571601,0.02,-8.963208082263675,-0.006699870806187391,31.52069932076366,40,-43.05339437481717,40,5.723935127258301,-28.02592607828537,6,6,40,0.0,0.0,0.175,38.216647424524474,1.0,6615.633091625682,0.0,1.0,-4.416507450204713,-16.706114594505795,160.09010993180254,1.0,6,0.0,-12.649404041802578,40,400,97.35269412223269,23692.8395406439,523.1061754049206,40,6,10.194643778824807,-16.509359261464,0.0,1.0,1.0,-37.84502178460656,-13.66341700624048,40,40,-67.86332132807732,0.025,5.7183156,2405.1812470092127,-47.02186464404651,-19.675084077568766,0.0,-40.25480163266783,6,1.0,-24.023502038816925,1.0,-18.575128836029037,-67.86332132807732,-23.247373910224887,40,-16.437807582441966,-30.519695485144588,420000,1.0,0.0,-2.4656279311370533,3.560384209677636e-09,306.1071264910092,6,0.0,-4.817731548500172,14875.302937151995,6.614509735882859,6,96558.98937588447,6,40,1.0,9.934122757194839,-34.654263530615374,1.0,0.0074432385,-11.094090844760057,-32.32087785654595,-15.591364538348456,6,-9.256342035878664,7.199774136930632,0.0,96558.98937588447,15.826319870591322,4258.203821799351,7.784269524966192,-57.96438553079862,-14.66511078486231,42.04820155901704
-55.25212765196772,-46.015246688024526,158.04356380452438,57375.926747347345,1.0,-42.59693673103337,40,7,29097.459838442493,-46.08499918443005,7,-27.549106110807305,0.0021332891261827136,0.04,1.8571529832086682,-0.002133283531293273,411.418907037633,40,-44.885859944844135,40,5.718317031860352,-27.073539586594997,7,7,40,0.0,0.0,0.25,136.69196310777923,1.0,9849.359483778864,0.0,1.0,-0.806494815141923,-16.2282267620521,2478.471987718432,1.0,7,0.0,-13.12376893145522,40,400,50.24963832986142,34632.08704915134,212.41820290228313,40,7,9.859301495279995,-13.879650310422596,0.0,1.0,1.0,-33.006988193268285,-13.234083872531855,40,40,-58.764903687475865,0.15,5.7339277,2900.744613692954,-40.419651323677186,57.02681563197937,0.0,-48.201940160174615,7,1.0,-33.6876026201482,1.0,-13.521494509135438,-58.764903687475865,-24.183107593128902,40,-17.93346284063002,-30.983991234450105,480000,1.0,0.0,-9.728776710783611,5.594889440629913e-09,304.39220924738584,7,0.0,-15.623235427653807,20405.956229810687,7.6882304872271225,7,137625.57035990074,7,40,1.0,7.810372346867969,-27.014726194043796,1.0,0.008141971,16.41298220052701,-31.194175147279008,-16.554518363319364,7,-15.43366593355356,6.942718035623577,0.0,137625.57035990074,28.273665100383056,5723.048608231687,6.000122820248423,-58.68168936157905,-15.242574717962267,48.643082064949525
-77.91483860902,-49.4616310954106,459.96470277763103,31640.30442322426,1.0,-42.777389248294384,40,8,17712.912419979304,-51.30668726721295,8,-30.019887489542214,0.005749254874140242,0.025,16.707642181378453,-0.0057492502965033054,11.231008061862655,40,-43.54125618599752,40,5.733927249908447,214.48616958472434,8,8,40,0.0,0.0,0.075,35.55481269074438,1.0,1762.1336616484405,0.0,1.0,8.355971033648103,-17.720569184598936,33.75368929698493,1.0,8,0.0,-14.264139045291637,40,400,20.100015427831735,22370.371071747453,94.76112585297929,40,8,14.699900561365046,-15.24812544931046,0.0,1.0,1.0,-37.61065053373065,43.203538054491275,40,40,-54.89931898462314,0.175,5.7508473,1765.2989187958995,-39.44950609433295,-24.559237976706633,0.0,-39.41202398826948,8,1.0,-23.817613189011972,1.0,9561.898437594176,-77.91483860902,-23.602430393037256,40,-15.72076491529624,-32.29392078835671,540000,1.0,0.0,-12.516622764541951,4.577636936176077e-09,309.18111872046535,8,0.0,-24.279641984171032,11847.670391775506,1496.7976051746011,8,85212.08190553504,8,40,1.0,7.456646837133629,-31.477035278819017,1.0,0.0073202057,-12.875775049142405,-34.50833384507342,-17.34518025414306,8,-18.18462316046859,9.672083436344568,0.0,85212.08190553504,14.5114958869808,3165.08189214417,7.650830133753703,-59.82870121098273,-15.255079222522136,113.75335385563581
-65.25534297324842,-51.32982890082541,792.1267265346647,42141.165620687374,1.0,-40.18196435678014,40,9,22861.739988382054,-44.925323536663065,9,-27.66244424057797,0.002556915462886389,0.0225,23.293232790536916,-0.002556911902502179,33.44610628772923,40,-43.34048926691258,40,5.750848293304443,-26.017871405107307,9,9,40,0.0,0.0,0.1,-19.308018598797773,1.0,5282.825446393727,0.0,1.0,5.447928489045029,-16.321678884041734,163.60280389197752,1.0,9,0.0,-13.295146905258369,40,400,38.501572659966435,19080.739048321608,163.12794960657877,40,9,11.629912311676334,-15.81461745306095,0.0,1.0,1.0,-40.377248154805564,-12.77822944014051,40,40,-58.45958435024838,0.125,5.7584915,2274.8663204565855,-45.7895450647009,-19.39045818431904,0.0,-49.442175285361934,9,1.0,-30.173388780535884,1.0,-15.400183173960508,-65.25534297324842,-23.53150067215052,40,-16.61500510064566,-33.95383639354584,600000,1.0,0.0,-9.223363732406707,3.560384209677636e-09,314.45729919714535,9,0.0,-16.48964734282965,14014.794374041427,5.824593285148418,9,85643.29980789908,9,40,1.0,5.12389974404767,-33.3728848524013,1.0,0.0076610604,-11.38801347754044,-30.975584643139303,-21.05867186004029,9,-19.29186305327622,7.599667652123837,0.0,85643.29980789908,11.06786436524888,4193.325563714909,7.167135442890024,-58.92918120309639,-16.172161740645986,145.59745851107158
