MetaTest/Average/EpisodeMeanInPlaceReward,TotalEnvSteps,MetaTest/push-v2/TerminationRate,MetaTest/Average/EpisodeMeanGraspReward,Average/MinReward,MetaTest/Average/EpisodeMeanMinGraspReward,push-v2/EpisodeMeanMaxInPlaceReward,push-v2/EpisodeMeanMinInPlaceReward,push-v2/EpisodeMeanInPlaceReward,MetaTest/push-v2/MinReturn,MetaTest/Average/MinReward,MetaTest/Average/NearObject,MetaTest/push-v2/EpisodeMeanMaxInPlaceReward,MetaTest/Average/EpisodeMeanMinInPlaceReward,MetaTest/push-v2/MinReward,Average/MaxReturn,Average/AverageReturn,MetaTest/push-v2/EpisodeMeanMaxGraspReward,MetaTest/Average/Iteration,MetaTest/push-v2/StdReturn,push-v2/AverageReturn,Average/SuccessRate,push-v2/MaxReward,MetaTest/Average/AverageReturn,MetaTest/push-v2/GraspSuccessRate,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,Average/MaxReward,MetaTest/push-v2/Iteration,push-v2/AverageDiscountedReturn,MetaTest/push-v2/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/push-v2/NearObject,MetaTest/Average/NumEpisodes,MetaTest/Average/GraspSuccessRate,MetaTest/Average/EpisodeMeanMaxGraspReward,Average/EpisodeMeanGraspReward,MetaTest/Average/AverageDiscountedReturn,Average/EpisodeMeanInPlaceReward,MetaTest/push-v2/SuccessRate,push-v2/TerminationRate,MetaTest/Average/TerminationRate,Average/EpisodeMeanMaxInPlaceReward,policy/KL,MetaTest/push-v2/EpisodeMeanMinGraspReward,push-v2/NumEpisodes,policy/KLBefore,Average/Iteration,MetaTest/push-v2/MaxReturn,push-v2/EpisodeMeanMaxGraspReward,Average/MinReturn,policy/Entropy,MetaTest/push-v2/EpisodeMeanInPlaceReward,push-v2/MinReturn,push-v2/SuccessRate,policy/LossAfter,LinearFeatureBaseline/ExplainedVariance,MetaTest/push-v2/AverageDiscountedReturn,push-v2/EpisodeMeanGraspReward,Average/StdReturn,MetaTest/push-v2/AverageReturn,Average/NumEpisodes,MetaTest/push-v2/EpisodeMeanMinInPlaceReward,MetaTest/Average/MaxReward,Average/AverageDiscountedReturn,push-v2/GraspSuccessRate,Average/TerminationRate,Average/EpisodeMeanMaxGraspReward,MetaTest/Average/EpisodeMeanMaxInPlaceReward,MetaTest/push-v2/EpisodeMeanGraspReward,push-v2/MinReward,push-v2/NearObject,Average/EpisodeMeanMinInPlaceReward,MetaTest/push-v2/MaxReward,push-v2/StdReturn,Average/GraspSuccessRate,policy/LossBefore,push-v2/Iteration,policy/dLoss,push-v2/MaxReturn,Average/EpisodeMeanMinGraspReward,MetaTest/Average/MinReturn,Average/NearObject,push-v2/EpisodeMeanMinGraspReward
0.15833338657431217,50000,0.0,0.0011698659118399661,8.559003190610056e-05,0.00020185184105878573,0.15312979327979592,0.15302838768626972,0.15307883962291918,36.912001807686316,4.748389958708172e-05,0.0,0.15838888153701666,0.15827724697611698,4.748389958708172e-05,223.99801433925646,25.808792935932484,0.013083743160066868,0,84.96280178054194,25.808792935932484,0.0,1.7134757640670493,274.68132579315414,0.0,0.0,453.24858366756723,1.7134757640670493,0,9.508897175812166,50,84.96280178054194,0.0,50,0.0,0.013083743160066868,0.0022019458959969757,274.68132579315414,0.15307883962291918,0.0,0.0,0.0,0.15312979327979592,0.015791709,0.00020185184105878573,100,0.0,0,453.24858366756723,0.013066657374574851,0.11538970152543049,5.6681833,0.15833338657431217,0.11538970152543049,0.0,-0.012246272,0.6937183336022655,274.68132579315414,0.0022019458959969757,39.61295787383316,274.68132579315414,100,0.15827724697611698,9.90923610586871,9.508897175812166,0.0,0.0,0.013066657374574851,0.15838888153701666,0.0011698659118399661,8.559003190610056e-05,0.0,0.15302838768626972,9.90923610586871,39.61295787383316,0.0,-1.9506836e-06,0,0.0122443205,223.99801433925646,0.0009070736176103447,36.912001807686316,0.0,0.0009070736176103447
,100000,,,0.006999011199461747,,0.154174235194809,0.15407161178547468,0.1541249127486385,,,,,,,735.6476206772146,345.0336652662752,,,,345.0336652662752,0.0,21.374191434248143,,,,,21.374191434248143,,150.23403797363397,,,,,,,0.0015151134448219497,,0.1541249127486385,,0.0,,0.154174235194809,0.0097436635,,100,0.0,1,,0.012693979480935117,14.002030053950518,5.6631155,,14.002030053950518,0.0,-0.17378671,0.6394879074278699,,0.0015151134448219497,122.29400707969955,,100,,,150.23403797363397,0.0,0.0,0.012693979480935117,,,0.006999011199461747,0.0,0.15407161178547468,,122.29400707969955,0.0,0.0018173438,1,0.17560406,735.6476206772146,0.000648300560592744,,0.0,0.000648300560592744
,150000,,,0.0303742993392955,,0.16051957605620293,0.1588855225048048,0.1597783732559118,,,,,,,590.230273610044,378.666920869963,,,,378.666920869963,0.0,13.795050190721941,,,,,13.795050190721941,,165.67423554091602,,,,,,,0.0016174812298599666,,0.1597783732559118,,0.0,,0.16051957605620293,0.007850212,,100,0.0,2,,0.01327542140880527,98.38072153377443,5.653537,,98.38072153377443,0.0,-0.14249523,0.5632208588615502,,0.0016174812298599666,100.04902354317821,,100,,,165.67423554091602,0.0,0.0,0.01327542140880527,,,0.0303742993392955,0.0,0.1588855225048048,,100.04902354317821,0.0,0.00074136717,2,0.14323659,590.230273610044,0.000670983435810039,,0.0,0.000670983435810039
,200000,,,0.18615711082673836,,0.16323130332486083,0.1631154207874695,0.16317869823306982,,,,,,,715.1505659638259,463.0920408643292,,,,463.0920408643292,0.0,21.49452907414134,,,,,21.49452907414134,,188.31915408529542,,,,,,,0.002087381187237574,,0.16317869823306982,,0.0,,0.16323130332486083,0.0069142547,,100,0.0,3,,0.01433274871142436,169.01677673966097,5.643937,,169.01677673966097,0.0,-0.14076002,0.5761386480335091,,0.002087381187237574,79.14802709528642,,100,,,188.31915408529542,0.0,0.0,0.01433274871142436,,,0.18615711082673836,0.0,0.1631154207874695,,79.14802709528642,0.0,0.00038768555,3,0.1411477,715.1505659638259,0.001042554768491969,,0.0,0.001042554768491969
,250000,,,0.00024139267066172946,,0.15777871046987665,0.15627446019329716,0.15655471804451396,,,,,,,644.2829794951873,366.0170753875804,,,,366.0170753875804,0.0,10.127066448441722,,,,,10.127066448441722,,164.33011375580878,,,,,,,0.002085553557499698,,0.15655471804451396,,0.0,,0.15777871046987665,0.0056487084,,100,0.0,4,,0.020996558529509768,132.85950953794065,5.6363673,,132.85950953794065,0.0,-0.14853743,0.4781468221634477,,0.002085553557499698,92.59680935628546,,100,,,164.33011375580878,0.0,0.0,0.020996558529509768,,,0.00024139267066172946,0.0,0.15627446019329716,,92.59680935628546,0.0,0.011696836,4,0.16023426,644.2829794951873,0.0006795872514379587,,0.0,0.0006795872514379587
,300000,,,0.05007743573223725,,0.16124159824717157,0.161065487987086,0.1611623568770234,,,,,,,703.8414461479348,391.1473761177734,,,,391.1473761177734,0.0,16.532077490021017,,,,,16.532077490021017,,172.06746987243886,,,,,,,0.002810812245745155,,0.1611623568770234,,0.0,,0.16124159824717157,0.0062873946,,100,0.0,5,,0.02721522708695813,76.87204967646244,5.62911,,76.87204967646244,0.0,-0.13477618,0.5823437786558685,,0.002810812245745155,132.12736874972782,,100,,,172.06746987243886,0.0,0.0,0.02721522708695813,,,0.05007743573223725,0.0,0.161065487987086,,132.12736874972782,0.0,8.898437e-05,5,0.13486516,703.8414461479348,0.0010732574628508492,,0.0,0.0010732574628508492
,350000,,,1.0075265498210887e-06,,0.15597342684347607,0.15284513359493218,0.1539140549036694,,,,,,,738.3933926040802,356.375306265786,,,,356.375306265786,0.0,21.96529334742986,,,,,21.96529334742986,,160.2025442907542,,,,,,,0.0027679691347300946,,0.1539140549036694,,0.0,,0.15597342684347607,0.0071801036,,100,0.0,6,,0.023450175277050418,16.098909841109133,5.617902,,16.098909841109133,0.0,-0.15609412,0.5850998819172923,,0.0027679691347300946,162.40021666823802,,100,,,160.2025442907542,0.0,0.0,0.023450175277050418,,,1.0075265498210887e-06,0.02,0.15284513359493218,,162.40021666823802,0.0,3.748047e-05,6,0.1561316,738.3933926040802,0.0008778380941137639,,0.02,0.0008778380941137639
,400000,,,9.864765184072974e-07,,0.1674057170138205,0.15977499984288746,0.16278217299587022,,,,,,,1251.3062426061208,416.4707446781407,,,,416.4707446781407,0.0,22.058568922906435,,,,,22.058568922906435,,165.11445336570915,,,,,,,0.006815489697164314,,0.16278217299587022,,0.0,,0.1674057170138205,0.006220339,,100,0.0,7,,0.050728610499212554,11.949447491038143,5.607323,,11.949447491038143,0.0,-0.2671432,0.6069527967046693,,0.006815489697164314,246.9267721786455,,100,,,165.11445336570915,0.0,0.0,0.050728610499212554,,,9.864765184072974e-07,0.03,0.15977499984288746,,246.9267721786455,0.0,0.0020817968,7,0.269225,1251.3062426061208,0.0010496154651877074,,0.03,0.0010496154651877074
,450000,,,1.2994261827294422e-07,,0.16339649498997277,0.1512550607734958,0.1556127844947843,,,,,,,1131.6603933469212,378.7594302211217,,,,378.7594302211217,0.0,22.165580225586833,,,,,22.165580225586833,,159.37048069823325,,,,,,,0.0074679230363617795,,0.1556127844947843,,0.0,,0.16339649498997277,0.008422799,,100,0.0,8,,0.06226622823995012,11.768685149980792,5.58648,,11.768685149980792,0.0,-0.20362951,0.5915122506053225,,0.0074679230363617795,200.89144706862356,,100,,,159.37048069823325,0.01,0.0,0.06226622823995012,,,1.2994261827294422e-07,0.03,0.1512550607734958,,200.89144706862356,0.01,0.00092933595,8,0.20455885,1131.6603933469212,0.0011755502823066599,,0.03,0.0011755502823066599
,500000,,,2.133563772406196e-07,,0.16498470957491576,0.14665485060833258,0.1556616607172142,,,,,,,1361.161275887674,388.46741211577614,,,,388.46741211577614,0.0,21.53889745779932,,,,,21.53889745779932,,139.12821291537196,,,,,,,0.009254611137893635,,0.1556616607172142,,0.0,,0.16498470957491576,0.0062118056,,100,0.0,9,,0.07604389536187676,11.048726915395388,5.5611567,,11.048726915395388,0.0,-0.21385945,0.5390766068375787,,0.009254611137893635,264.3368656738635,,100,,,139.12821291537196,0.0,0.0,0.07604389536187676,,,2.133563772406196e-07,0.04,0.14665485060833258,,264.3368656738635,0.0,0.0014659179,9,0.21532537,1361.161275887674,0.001232765258565271,,0.04,0.001232765258565271
